Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Version Booster,Booster landing,Date,Time,Launch Site,Booster Landing
67,,SpaceX CRS-19,"2,617 kg",LEO,NASA,"Success
",F9 B5B1051.2,,4 May 2019,02:30,CCAFS,Success
68,,JCSat-18,"6,956 kg",GTO,Sky Perfect JSAT,"Success
",F9 B5B1056.2,,24 May 2019,14:17,CCAFS,Success
69,,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5B1047.3,,12 June 2019,22:01,CCAFS,"Not attempted
"
70,,Crew Dragon in-flight abort test,"12,050 kg",Sub-orbital,NASA,"Success
",F9 B5,,25 July 2019,23:23,CCAFS,Success
71,,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5,,6 August 2019,14:56,CCAFS,Failure
72,,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5B1056.3,,11 November 2019,17:29,CCAFS,Success
73,,SpaceX CRS-20,"1,977 kg",LEO,NASA,"Success
",F9 B5,,5 December 2019,00:10,CCAFS,Failure
74,,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5,,17 December 2019,02:19:21,CCAFS,Success
75,,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5,,7 January 2020,15:30,CCAFS,Success
76,,Crew Dragon Demo-2,"12,530 kg",LEO,NASA,"Success
",F9 B5,,19 January 2020,14:07,CCAFS,Success
77,,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5,,29 January 2020,15:05,CCAFS,Success
78,,Starlink,"15,410 kg",LEO,SpaceX,"Success
",F9 B5,,17 February 2020,04:50,CCAFS,Success
79,,GPS III,"4,311 kg",MEO,U.S. Space Force,"Success
",F9 B5,,7 March 2020,12:16,CCAFS,Success
80,,ANASIS-II,"5,000–6,000 kg",GTO,Republic of Korea Army,"Success
",F9 B5,,18 March 2020,19:30,CCAFS,Success
81,,Starlink,"14,932 kg",LEO,SpaceX,"Success
",F9 B5,,22 April 2020,19:22,CCAFS,Success
82,,Starlink,"~15,440 kg",LEO,SpaceX,"Success
",F9 B5,,30 May 2020,01:25,CCAFS,Success
83,,SAOCOM 1B,"3,130 kg",SSO,CONAE,"Success
",F9 B5,,4 June 2020,09:21,CCAFS,Success
84,,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5B1058.2,,13 June 2020,20:10:46,CCAFS,Success
85,,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5,,30 June 2020,21:30,CCAFS,Success
86,,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5B1049.6,,20 July 2020,05:12,CCAFS,Success
87,,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5,,7 August 2020,14:31,CCAFS,Success
88,,GPS III,"4,311 kg",MEO,USSF,"Success
",F9 B5B1060.2,,18 August 2020,23:18,CCAFS,Success
89,,Crew-1,"~12,500 kg",LEO,NASA,"Success
",F9 B5B1058.3,,30 August 2020,12:46:14,CCAFS,Success
90,,Sentinel-6 Michael Freilich (Jason-CS A),"1,192 kg",LEO,NASA,"Success
",F9 B5B1051.6,,3 September 2020,11:29:34,CCAFS,Success
91,,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5,,6 October 2020,12:25:57,CCAFS,Success
92,,SpaceX CRS-21,"2,972 kg",LEO,NASA,"Success
",F9 B5,,18 October 2020,15:31:34,CCAFS,Success
93,,SXM-7,"7,000 kg",GTO,Sirius XM,"Success
",F9 B5,,24 October 2020,23:24:23,CCAFS,Success
94,,NROL-108,C,LEO,NRO,"Success
",F9 B5,,5 November 2020,00:27,CCAFS,Success
95,,Türksat 5A,"3,500 kg",GTO,Türksat,"Success
",F9 B5 ♺,,16 November 2020,17:17:08,CCAFS,Success
96,,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5 ♺,,21 November 2020,02:13,CCAFS,
97,,Transporter-1,"~5,000 kg",SSO,,,F9 B5 ♺,,25 November 2020,16:17:08,CCAFS,
98,,,,,,,F9 B5 ♺,,6 December 2020,17:30:00,,
99,,,,,,,F9 B5,,13 December 2020,14:00:00,,
100,,,,,,,F9 B5B1051.8,,19 December 2020,02:15,,
101,,,,,,,F9 B5B1058.5,,8 January 2021,13:02,,
102,,,,,,,,,20 January 2021,15:00,,
103,,,,,,,,,24 January 2021,,,
104,,,,,,,,,,,,
105,,,,,,,,,,,,
106,,,,,,,,,,,,
